Brand,PUG Aisle(s),PUG Signal Tag(s),Status
(P)RiND,Puffs+Crunch,Organic,pending
All The Bitter,Non-Alc,Gives Back,pending
Auntie Rana's,Pantry,Gives Back,pending
Bachan's,Saucy+Spicy,Gives Back,pending
Bake Away,Sweets+Treats,Gives Back,pending
Batch,Pantry,Organic,pending
Boss Cow,"Pantry, Sweets+Treats",Regenerative Ingredients,pending
Brass Roots,Puffs+Crunch,Gives Back,pending
Brightland,Pantry,Gives Back,pending
But Better,Bites+Chews,Organic,pending
Cactus Crunch,Puffs+Crunch,Gives Back,pending
CAFF,Bites+Chews,Organic,pending
Chewsy,Bites+Chews,Gives Back,pending
Chocxo,Sweets+Treats,Organic,pending
Cob,Puffs+Crunch,"Regenerative Ingredients, Gives Back",pending
Creature Matcha,Pantry,Organic,pending
DEFI Snacks,Sweets+Treats,Gives Back,pending
Desert Dust,Pantry,Organic,pending
Dirtbag Bar,Sweets+Treats,"Organic, Gives Back",pending
Dr. Smood,Bites+Chews,Organic,pending
edggies veggies,Pantry,Organic,pending
Evo Hemp,Bites+Chews,Regenerative Ingredients,pending
Felicia,Pantry,Organic,pending
Figa Foods,Sweets+Treats,Regenerative Ingredients,pending
Figure Ate,Bites+Chews,Regenerative Ingredients,pending
Floura,Bites+Chews,Regenerative Ingredients,pending
Frankie's Fabulous Granola,Breakfast-ish,Gives Back,pending
Garden Based,Pantry,Gives Back,pending
Geem,Puffs+Crunch,Regenerative Ingredients,pending
Ghips,Puffs+Crunch,Regenerative Ingredients,pending
Go a Little Nuts,Bites+Chews,Regenerative Ingredients,pending
GOOD GREED,Sweets+Treats,Gives Back,pending
Good Twin,Non-Alc,Organic,pending
Gwell,Bites+Chews,Gives Back,pending
Harken Sweets,Sweets+Treats,Regenerative Ingredients,pending
Harry's Famous Sauce,Pantry,"Regenerative Ingredients, Gives Back",pending
Hayati,Pantry,Gives Back,pending
Herbs & Kettles,Pantry,Regenerative Ingredients,pending
iMind Brain Food,Bites+Chews,Organic,pending
Jennie's House,Pantry,Regenerative Ingredients,pending
Joey Nordic Seed Crisps,Puffs+Crunch,Organic,pending
JOYA,Sweets+Treats,Gives Back,pending
